[217.99] node 0: n_msg = 163728; bytes = 357704832; sys_bytes = 90550428
[219.08] node 0: n_msg = 239832; bytes = 159792768; sys_bytes = 40436640
[220.18] node 0: n_msg = 3192; bytes = 0; sys_bytes = 3381
[221.25] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[222.31] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[223.41] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[224.50] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[225.59] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[226.65] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[227.68] node 0: n_msg = 168; bytes = 1344; sys_bytes = 0
[228.81] node 0: n_msg = 177072; bytes = 1061760; sys_bytes = 64263
[229.84] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[230.96] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[232.03] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[233.12] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[234.16] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[235.26] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[236.34] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[237.45] node 0: n_msg = 1344; bytes = 10752; sys_bytes = 0
[238.53] node 0: n_msg = 175560; bytes = 1049664; sys_bytes = 64977
[239.53] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[240.64] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[241.72] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[242.76] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[243.86] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[244.89] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[245.96] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[247.06] node 0: n_msg = 2520; bytes = 20160; sys_bytes = 0
[248.18] node 0: n_msg = 174216; bytes = 1038912; sys_bytes = 64309
[249.25] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[250.32] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[251.38] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[252.50] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[253.56] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[254.65] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[255.71] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[256.90] node 0: n_msg = 4032; bytes = 32256; sys_bytes = 2496
[258.03] node 0: n_msg = 168840; bytes = 995904; sys_bytes = 61816
[259.16] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[260.18] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[261.24] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[262.29] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[263.37] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[264.48] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[265.59] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[266.70] node 0: n_msg = 4200; bytes = 33600; sys_bytes = 2916
[267.76] node 0: n_msg = 231966; bytes = 373690800; sys_bytes = 100408780
[268.90] node 0: n_msg = 166080; bytes = 357723648; sys_bytes = 90550188
[269.99] node 0: n_msg = 159704; bytes = 164212992; sys_bytes = 49748706
[271.08] node 0: n_msg = 239962; bytes = 335579136; sys_bytes = 81235947
[272.32] node 0: n_msg = 18144; bytes = 96768; sys_bytes = 6301
